Dan (VI) Stone,At the Edge of the World (2008)
Malu De Martino,Como Esquecer (2010)
Tsz Ming Wong,Bu er shen tan (2013)
Bill (II) Maher,Sleepwalking (2008)
Kristoffer Metcalfe,Amors baller (2011)
Masayuki Miyano,Lalapipo (2009)
Tom Gianas,TripTank (2013)
Daniel J Cunningham,Spaced Reality (2013)
Darryl (I) Roberts,America the Beautiful (2007)
Baillie Walsh,Flashbacks of a Fool (2008),Springsteen & I (2013)
Stephen (I) Burke,Happy Ever Afters (2009)
Jeff (II) Jenkins,Play Dead (2001)
Guy Lee Thys,Kassablanka (2002),Mixed Kebab (2012),Suspect (2005)
Ryan (I) Sage,A Big Love Story (2012)
Swamy M. Kandan,The Secret Village (2013)
Jean-Marc (I) Barr,American Translation (2011),Being Light (2001),Chacun sa nuit (2006),Chroniques sexuelles d'une famille d'aujourd'hui (2012)
Flavio Nardini,Regresados (2007)
Apoorva Lakhia,Dus Kahaniyaan (2007),Ek Ajnabee (2005),Mission Istaanbul: Darr Ke Aagey Jeet Hai! (2008),Mumbai Se Aaya Mera Dost (2003),Shootout at Lokhandwala (2007),Zanjeer (2013)
Mohamed Diab,678 (2010)
Neil Abramson,American Son (2008)
Dominic (I) Leclerc,Protect Me from What I Want (2009)
Dana Nechushtan,Dunya & Desie (2008),Nachtrit (2006)
Melinda McDougall,Erasing David (2010)
Ryan (I) Harper,30 Miles (2004/I)
Antonio (I) Navarro,Los reyes magos (2003)
Jerry Ciccoritti,Blood (2004),Schitt's Creek (2015)
Michel (I) Blanc,Embrassez qui vous voudrez (2002)
André Barcinski,Maldito - O Estranho Mundo de José Mojica Marins (2001)
Walt Becker,Buying the Cow (2002),Old Dogs (2009/I),Van Wilder (2002),Wild Hogs (2007)
Julien Vrebos,The Emperor's Wife (2003)
Jim (IV) Fitzpatrick,Adventure Scouts (2010),An American Reunion (2003)
Sergey Bodrov,42 One Dream Rush (2009),Bear's Kiss (2002),Köshpendiler (2005),Mongol (2007),Seventh Son (2014/I),The Quickie (2001)
Christine Jeffs,Rain (2001/III),Sunshine Cleaning (2008),Sylvia (2003)
Hyeon-su (I) Jang,Nuguna bimileun itda (2004)
Kim-Ching Luk,Chek dou (2015),Chek dou (2015),Hon zin (2012)
Simon Arthur,Silver Tongues (2011)
Elizabeth Chai Vasarhelyi,Meru (2015)
Aruna Villiers,À ton image (2004)
Luc Pagès,A+ Pollux (2002)
Stephen (II) Lance,My Mistress (2014)
Marcus H. Rosenmüller,Beste Gegend (2008),Beste Zeit (2007),Der Sommer der Gaukler (2011),Die Perlmutterfarbe (2009),Räuber Kneißl (2008),Schwere Jungs (2006),Sommer in Orange (2011),Wer früher stirbt ist länger tot (2006)
Brent Florence,Eagles in the Chicken Coop (2010)
Chad Stahelski,John Wick (2014)
Gert Steinheimer,Black Forest (2010)
Heywood Gould,Double Bang (2001)
Cheuk-yin Chan,Oi dau dai (2008)
Peter (I) Whitehead,The Rolling Stones: Charlie Is My Darling - Ireland 1965 (2012)
Jorma Taccone,MacGruber (2010)
Verónica Chen,Agua (2006/I),Vagón fumador (2001)
Randall Lobb,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles (2014)
Gavin Wiesen,The Art of Getting By (2011)
Rishi Opel,The Grind (2012/I)
Thomas Langmann,Astérix aux jeux olympiques (2008),Stars 80 (2012)
Jihong Ju,Tokkiwa rijeodeu (2009)
Jason (I) Osder,Let the Fire Burn (2013)
Ryan (I) Combs,Animal 2 (2008),I Accidentally Domed Your Son (2004),King of the Avenue (2010),Mafia (2012),The Hit (2007/I),The Wrath of Cain (2010)
David (XVI) Palmer,Brother's Justice (2010),Hit and Run (2012)
Valeri Rozhnov,Nochnoy prodavets (2005)
Drew Ann Rosenberg,Alex in Wonder (2001),Follow the Prophet (2009),Hole in One (2010)
Philip Creager,Death by Engagement (2005)
Joan C. Gratz,Kahlil Gibran's The Prophet (2014)
Barbet Schroeder,L'avocat de la terreur (2007),Murder by Numbers (2002)
Andrew (I) Zuckerman,High Falls (2007)
Andrew (I) Wiest,The Wylds (2010)
Gary Lennon,.45 (2006)
Toshiyuki Tsuru,Gekijô-ban Naruto: Daikôfun! Mikazukijima no animaru panikku dattebayo! (2006)
Aaron Nee,The Last Romantic (2006)
Daniel (III) O'Connor,Obscene (2007)
Andrew (II) Bowler,Time Freak (2011)
Connie Littlefield,Hofmann's Potion (2002)
Gábor (II) Forgács,Álom.net (2009)
Mark Gravas,Yakkity Yak (2003)
Brian Austin Green,Fish Without a Bicycle (2003)
Dorota Kedzierzawska,Jestem (2005),Pora umierac (2007)
Stephanie (II) Black,Life and Debt (2001)
Michael Korbic,No Time to Fear (2009)
Glenn (I) Gaylord,Boychick (2001),Eating Out: All You Can Eat (2009),I Do (2012/I)
Sylvain Estibal,When Pigs Have Wings (2011)
Jean Yeo,The Leap Years (2008)
Steve Woo,The Break-Up Artist (2009)
Victor Lindgren,Ta av mig (2012)
Anna Brady,Gameloading: Rise of the Indies (2015)
Happy Salma,Rectoverso (2013)
Chris Solimine,Moroz po kozhe (2007)
Huseyin Karabey,F Tipi Film (2012),Gitmek: Benim Marlon ve Brandom (2008),Were Dengê Min: Come To My Voice (2014)
Ashima Chibber,Mere Dad Ki Maruti (2013)
Dave (II) Schultz,45 R.P.M. (2008),Jet Boy (2001),Rufus (2012)
Zdenek Troska,Andelská tvár (2002),Babovresky (2013),Doktor od jezera hrochu (2010),Kamenák (2003),Kamenák 2 (2004),Kamenák 3 (2005),Z pekla stestí 2 (2001)
Nikola Vukcevic,Djecaci iz ulice Marksa i Engelsa (2014),Pogled sa Ajfelovog tornja (2005)
Ericson Core,Invincible (2006)
Wael Ihsan,Amir El Behar (2009),Nour Einy (2010),Wesh Egram (2006)
Billy (I) Lewis,The Jailhouse (2009)
Robert Rugan,Alice's Misadventures in Wonderland (2004)
Justin Le Pera,Isolated (2013/I)
Ferenc (I) Török,Isztambul (2011),Jött egy busz... (2003),Moszkva tér (2001),Overnight (2007),Senki szigete (2014),Szezon (2004)
Jonah (I) Markowitz,Shelter (2007/II)
Chris (VII) Graham,42 One Dream Rush (2009),Sione's Wedding (2006),The Ferryman (2007)
Luis Ismael,Balas & Bolinhos (2001),Balas & Bolinhos - O Regresso (2004),Balas & Bolinhos: O Último Capítulo (2012)
John Maclean,Pitch Black Heist (2011),Slow West (2015)
Richard (VI) Keith,Law and Order: Really Special Victims Unit (2009)
Sarah (VII) Burns,The Central Park Five (2012)
Paul Durgan,The F Word (2005)
Timothy Lanzone,Travelling Salesman (2012)
Jared (VI) Young,Remnants (2013/I)
Hélier Cisterne,Vandal (2013)
Daisaku Kimura,Tsurugidake: Ten no ki (2009)
Maïwenn ,Le bal des actrices (2009),Mon roi (2015),Pardonnez-moi (2006),Polisse (2011)
Sachin Bajaj,Naksha (2006)
Benjamin Carland,Sol (2012)
Hanno Höfer,Amintiri din epoca de aur (2009)
Luís Filipe Rocha,A Outra Margem (2007),A Passagem da Noite (2003),Camarate (2001)
Michael Pietrzak,Bar Starz (2008)
David Hillenbrand,Demon Island (2002),Game Box 1.0 (2004),National Lampoon Presents Dorm Daze (2003),Transylmania (2009)
Chris (III) Fisher,Dirty (2005),Meeting Evil (2012),Nightstalker (2002),Rampage: The Hillside Strangler Murders (2006),S. Darko (2009)
Raoul Bhaneja,Train 48 (2003)
Dale Windle,Rulers of Darkness (2013)
Youn-hyun Chang,Ga-bi (2012),Hwang Jin-yi (2007),Sseom (2004)
Steven (II) Woodcock,Between Two Women (2004)
Alex Santoro,The Other Side (2012/IV)
